address,latitude,longitude
"Ocala, FL Supercharger, 4414 SW College Rd, Ocala, FL 34474
",29.1409854,-82.1939745
"Pinellas Park Supercharger, 3101 Gandy Blvd, Pinellas Park,  33782-6203
",27.846132,-82.678126
"Plantation Supercharger, 801 S. University Drive, Plantation, FL 33324
",26.1086188,-80.252316
"Port Orange, FL Supercharger, 5302 S. Williamson Blvd, Port Orange, FL 32128
",29.1085672,-81.0346024
"Port St. Lucie, FL Supercharger, 1701 NW Peacock Blvd, Port St. Lucie, FL 34986
",27.3129865,-80.4066887
"Sarasota Supercharger, 5903 Honore Ave, Sarasota, FL 34238
",27.3862115,-82.4641054
"St. Augustine, FL Supercharger, 2700 Florida 16, St. Augustine, FL 32092
",29.924282,-81.416044
"Tallahassee Supercharger, 3528 Thomasville Rd, Tallahassee, FL 32308
",30.5109641,-84.247929
"Turkey Lake Supercharger, Florida Turnpike, Turkey Lake, FL 32835
",28.5147396,-81.4992653
"West Melbourne, FL Supercharger, 206 Palm Bay Road, West Melbourne, FL 32904-0000
",28.0370321,-80.6641578
"West Palm Beach, 4651 Dyer Blvd, West Palm Beach, FL 33407
",26.7785209,-80.1089773
"Atlanta Supercharger, 1380 Atlantic Drive NW, Atlanta, GA 30363
",33.7927258,-84.3978715
"Atlanta-Decatur, 1580 Church St, Decatur, GA 30033
",33.7933949,-84.2851952
"Augusta, GA Supercharger, 1069 Stevens Creek Road, Augusta, GA 30907
",33.5147323,-82.0454413
"Kingsland Supercharger, 1190 East Boone Avenue, Kingsland, GA 31548
",30.7907732,-81.6637041
"Macon Georgia Supercharger, 450 Martin Luther King Jr Blvd, Macon, GA 31201
",32.8334571,-83.625825
"Savannah, GA Supercharger, 400 Airways Avenue, Savannah, GA 31408
",32.1358821,-81.2128235
"Tifton, GA Supercharger, 1204 U.S. 82, Tifton, GA 31794
",31.4493801,-83.5325236
"Boise Supercharger, 1426 South Entertainment Ave, Boise, ID 83709
",43.5916659,-116.279426
"Coeur d&#039;Alene Supercharger, 3458 N Fruitland Lane, Coeur d'Alene, ID 83815
",47.7088449,-116.7929138
"Idaho Falls Supercharger, 940 Pier View Drive, Idaho Falls, ID 83402
",43.4851412,-112.0520928
"Pocatello Supercharger, 1399 Bench Road, Pocatello, ID 83201
",42.9001361,-112.4346964
"Twin Falls Supercharger, 2015 Neilsen Point Place, Twin Falls, ID 83301
",42.5983499,-114.4557012
"Bolingbrook Supercharger, 755 E. Boughton Road, Bolingbrook, IL 60440-2250
",41.7221714,-88.0374394
"Champaign, IL	 Supercharger, 2401 North Prospect Avenue, Champaign, IL 61822
",40.1462155,-88.2596742
"Chicago, IL - North Broadway Supercharger, 3030 North Broadway, Chicago, IL 60657
",41.9372302,-87.6450195
"Chicago, IL - North Columbus Drive Supercharger, 225 North Columbus Drive, Chicago, Illinois 60601-7910
",41.886509,-87.619718
"Chicago, IL - South Canal Street Supercharger, 1100 South Canal Street, Chicago, IL 60607
",41.869125,-87.639969
"Chicago-Highland Park, 1200 Old Skokie Valley Road, Highland Park, IL 60035
",42.1744101,-87.8164252
"Country Club Hills, IL Supercharger, 4201 167th St., Country Club Hills, IL 60478
",41.5852821,-87.7213144
"Effingham Supercharger, 1200 N. Keller Drive, Effingham, IL 62401
",39.137114,-88.563485
"Mt. Vernon Supercharger, 222 Potomac Blvd., Mt. Vernon, IL 62864-6750
",38.3163033,-88.9559061
"Normal, IL Supercharger, 11 Uptown Circle, Normal, IL 61761
",40.508403,-88.985013
"North Aurora Supercharger, 151 Hansen Blvd, North Aurora, IL 60542
",41.8043747,-88.3696052
"Peru, IL Supercharger, 1651 Midtown Road, Peru, IL 61354
",41.3484067,-89.1261052
"Rockford, IL Supercharger, 7200 Harrison Ave, Rockford, IL 61112
",42.2438647,-88.9788851
"Rolling Meadows, IL Supercharger, 1301 Meijer Drive, Rolling Meadows, IL 60008-4205
",42.0479199,-87.9963991
"Skokie, IL Supercharger, 5507 Touhy Avenue, Skokie, IL 60077
",42.008862,-87.763353
"Springfield Illinois Supercharger, 3801 S. MacArthur Blvd., Springfield, IL 62704
",39.7488702,-89.6711734
"Angola, IN Supercharger, 3855 Indiana 127, Angola, IN 46703
",41.699078,-85.000345
"Fort Wayne, IN Supercharger, 6309 Lima Road
",41.1385059,-85.1634187
", Fort Wayne, IN 46818
",41.1614273,-85.2101269
"Indianapolis, IN Supercharger, 5120 Victory Dr, Indianapolis, IN 46201
",39.7023237,-86.0796094
